zip,BDY,DEM,GRE,IND,LIB,REP,total,d_share
80401,0.0,163430.0,0.0,0.0,0.0,57840.0,221270.0,0.7385999005739594
80402,0.0,1883.0,0.0,0.0,0.0,237.0,2120.0,0.8882075471698113
80403,0.0,72843.0,0.0,0.0,0.0,35659.0,108502.0,0.6713516801533612
80420,0.0,800.0,0.0,0.0,0.0,0.0,800.0,1.0
80421,0.0,7872.0,0.0,0.0,50.0,5449.0,13371.0,0.588736818487772
80422,0.0,3952.0,0.0,0.0,0.0,2975.0,6927.0,0.570521149126606
80424,0.0,28896.0,0.0,0.0,0.0,9710.0,38606.0,0.7484846914987308
80425,0.0,150.0,0.0,0.0,0.0,0.0,150.0,1.0
80427,0.0,1250.0,0.0,0.0,0.0,0.0,1250.0,1.0
80428,0.0,2649.0,0.0,0.0,0.0,170.0,2819.0,0.939694927279177
80432,0.0,50.0,0.0,0.0,0.0,0.0,50.0,1.0
80433,0.0,13968.0,0.0,0.0,0.0,12228.0,26196.0,0.5332111772789739
80435,0.0,9266.0,0.0,0.0,0.0,1053.0,10319.0,0.8979552282197888
80436,0.0,117.0,0.0,0.0,0.0,0.0,117.0,1.0
80437,0.0,11916.0,0.0,0.0,0.0,5102.0,17018.0,0.7001997884592784
80438,0.0,69.0,0.0,0.0,0.0,0.0,69.0,1.0
80439,0.0,121219.0,0.0,0.0,0.0,27609.0,148828.0,0.8144905528529578
80440,0.0,2613.0,0.0,0.0,0.0,842.0,3455.0,0.7562952243125904
80442,0.0,5128.0,0.0,0.0,0.0,1744.0,6872.0,0.7462165308498254
80443,0.0,10600.0,0.0,0.0,0.0,4728.0,15328.0,0.691544885177453
80444,0.0,2116.0,0.0,0.0,0.0,8.0,2124.0,0.9962335216572504
80446,0.0,5065.0,0.0,0.0,0.0,1550.0,6615.0,0.7656840513983371
80447,0.0,5491.0,0.0,0.0,0.0,300.0,5791.0,0.9481954757382145
80448,0.0,2200.0,0.0,0.0,0.0,0.0,2200.0,1.0
80449,0.0,728.0,0.0,0.0,0.0,0.0,728.0,1.0
80451,0.0,1383.0,0.0,0.0,0.0,500.0,1883.0,0.7344662772172066
80452,0.0,7337.0,0.0,0.0,0.0,84.0,7421.0,0.9886807707856085
80453,0.0,3295.0,0.0,0.0,0.0,0.0,3295.0,1.0
80454,0.0,2556.0,0.0,0.0,0.0,250.0,2806.0,0.9109052031361369
80455,0.0,2005.0,0.0,0.0,100.0,0.0,2105.0,0.9524940617577197
80456,0.0,725.0,0.0,0.0,0.0,0.0,725.0,1.0
80457,0.0,975.0,0.0,0.0,0.0,390.0,1365.0,0.7142857142857143
80459,0.0,350.0,0.0,0.0,0.0,1420.0,1770.0,0.1977401129943503
80461,0.0,8266.0,0.0,0.0,0.0,418.0,8684.0,0.9518654997696914
80465,0.0,40811.0,0.0,0.0,0.0,28818.0,69629.0,0.5861207255597524
80466,500.0,36306.0,0.0,0.0,0.0,11642.0,48448.0,0.7493807793923382
80467,0.0,5577.0,0.0,0.0,0.0,2245.0,7822.0,0.7129890053694707
80469,0.0,1100.0,0.0,0.0,0.0,0.0,1100.0,1.0
80470,0.0,4071.0,0.0,500.0,0.0,6050.0,10621.0,0.3832972413143772
80471,0.0,3120.0,0.0,0.0,0.0,0.0,3120.0,1.0
80474,0.0,702.0,0.0,0.0,0.0,0.0,702.0,1.0
80475,0.0,100.0,0.0,0.0,0.0,0.0,100.0,1.0
80476,0.0,604.0,0.0,0.0,0.0,0.0,604.0,1.0
80477,0.0,47302.0,0.0,0.0,0.0,2733.0,50035.0,0.9453782352353353
80478,0.0,4253.0,0.0,0.0,0.0,1000.0,5253.0,0.8096325909004378
80480,0.0,728.0,0.0,0.0,0.0,0.0,728.0,1.0
80481,0.0,5307.0,0.0,0.0,0.0,603.0,5910.0,0.8979695431472081
80482,0.0,6071.0,0.0,0.0,0.0,366.0,6437.0,0.9431412148516389
80487,0.0,55540.0,0.0,0.0,0.0,16842.0,72382.0,0.7673178414522948
80488,0.0,11071.0,0.0,0.0,0.0,1518.0,12589.0,0.8794185399952339
80497,0.0,4854.0,0.0,0.0,0.0,0.0,4854.0,1.0
80498,0.0,25405.0,0.0,0.0,0.0,6206.0,31611.0,0.8036759355920408
80499,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
80501,0.0,93946.0,0.0,0.0,0.0,14467.0,108413.0,0.8665565937664302
80502,0.0,1413.0,0.0,0.0,0.0,1392.0,2805.0,0.5037433155080214
80503,0.0,265667.0,0.0,0.0,0.0,79152.0,344819.0,0.7704534842917589
80504,0.0,100476.0,0.0,0.0,500.0,47230.0,148206.0,0.6779482612039999
80508,0.0,300.0,0.0,0.0,0.0,0.0,300.0,1.0
80510,0.0,1401.0,0.0,0.0,0.0,237.0,1638.0,0.8553113553113553
80511,0.0,30.0,0.0,0.0,0.0,12.0,42.0,0.7142857142857143
80512,0.0,7404.0,0.0,0.0,0.0,2155.0,9559.0,0.7745580081598493
80513,0.0,28514.0,0.0,0.0,0.0,12419.0,40933.0,0.6966017638580119
80514,0.0,195.0,0.0,0.0,0.0,232.0,427.0,0.4566744730679157
80515,0.0,2621.0,0.0,0.0,0.0,514.0,3135.0,0.8360446570972887
80516,0.0,45989.0,0.0,0.0,0.0,12796.0,58785.0,0.7823254231521647
80517,0.0,26622.0,0.0,0.0,0.0,11951.0,38573.0,0.6901718818862935
80520,0.0,68.0,0.0,0.0,0.0,945.0,1013.0,0.06712734452122408
80521,0.0,84346.0,0.0,0.0,0.0,2405.0,86751.0,0.9722769766342751
80522,0.0,11495.0,0.0,0.0,0.0,0.0,11495.0,1.0
80523,0.0,527.0,0.0,0.0,0.0,0.0,527.0,1.0
80524,220.0,142673.0,0.0,0.0,0.0,40371.0,183264.0,0.7785107822594727
80525,0.0,119107.0,0.0,0.0,0.0,38214.0,157321.0,0.7570953655265349
80526,0.0,104535.0,0.0,0.0,0.0,0.0,104535.0,1.0
80527,0.0,6114.0,0.0,0.0,0.0,1320.0,7434.0,0.8224374495560937
80528,320.0,42014.0,0.0,0.0,0.0,20503.0,62837.0,0.6686188073905501
80530,0.0,2361.0,0.0,0.0,0.0,4929.0,7290.0,0.3238683127572016
80532,0.0,281.0,0.0,0.0,0.0,0.0,281.0,1.0
80533,0.0,6858.0,0.0,0.0,0.0,0.0,6858.0,1.0
80534,0.0,15088.0,0.0,0.0,0.0,9106.0,24194.0,0.62362569232041
80535,0.0,7086.0,0.0,0.0,0.0,0.0,7086.0,1.0
80536,0.0,6311.0,0.0,0.0,0.0,492.0,6803.0,0.9276789651624283
80537,0.0,88210.0,0.0,0.0,0.0,21844.0,110054.0,0.8015156196049212
80538,0.0,70606.0,0.0,0.0,8400.0,30776.0,109782.0,0.6431473283416225
80539,0.0,898.0,0.0,0.0,0.0,714.0,1612.0,0.5570719602977667
80540,0.0,16922.0,0.0,0.0,0.0,5537.0,22459.0,0.7534618638407765
80541,0.0,100.0,0.0,0.0,0.0,1125.0,1225.0,0.08163265306122448
80542,0.0,2734.0,0.0,0.0,0.0,5298.0,8032.0,0.3403884462151394
80543,0.0,230.0,0.0,0.0,0.0,3800.0,4030.0,0.05707196029776675
80544,0.0,2147.0,0.0,0.0,0.0,0.0,2147.0,1.0
80545,0.0,366.0,0.0,0.0,0.0,13950.0,14316.0,0.02556580050293378
80546,0.0,70.0,0.0,0.0,0.0,0.0,70.0,1.0
80547,0.0,10347.0,0.0,0.0,0.0,5980.0,16327.0,0.6337355301035095
80549,0.0,6435.0,0.0,0.0,0.0,10520.0,16955.0,0.37953406074904156
80550,0.0,32172.0,0.0,0.0,0.0,27843.0,60015.0,0.5360659835041239
80601,220.0,19383.0,0.0,0.0,0.0,8272.0,27875.0,0.6953542600896861
80602,0.0,16417.0,0.0,0.0,50.0,23233.0,39700.0,0.4135264483627204
80603,0.0,7052.0,0.0,0.0,20.0,5152.0,12224.0,0.5768979057591623
80604,0.0,100.0,0.0,0.0,0.0,0.0,100.0,1.0
80610,0.0,3800.0,0.0,0.0,0.0,1600.0,5400.0,0.7037037037037037
80612,0.0,1503.0,0.0,0.0,0.0,6200.0,7703.0,0.19511878488900428
80614,0.0,163.0,0.0,0.0,0.0,106.0,269.0,0.6059479553903345
80615,0.0,807.0,0.0,0.0,0.0,2825.0,3632.0,0.22219162995594713
